Age, Income
56, $37200
93, $9400
59, $34700
19, $11200
71, $14500
42, $95500
65, $18000
53, $72200
28, $38400
66, $24800
71, $58100
54, $68600
35, $15700
41, $25300
21, $25100
43, $16000
42, $35700
58, $33900
71, $40800
52, $88500
47, $14600
42, $74600
63, $1400
60, $1100
76, $7500
53, $15400
75, $30000
32, $84800
31, $99100
68, $8200
42, $66700
41, $16800
49, $71700
65, $10900
49, -$2700
66, $29800
40, $71300
23, $25800
63, $3500
70, $122200
55, $37000
29, $73500
49, $54400
78, $35500
71, $15500
66, $24600
67, $121800
25, $24200
71, $66900
56, $68400
44, $51200
39, $27200
64, $24500
79, $13500
53, $55600
73, $17000
74, $27400
52, $26800
47, -$1600
60, $84700
67, $30500
68, $22000
74, $23500
66, $732400
81, $25400
54, $28100
48, $57000
74, $66500
49, $90500
46, $9200
50, $12600
33, $73000
80, $43700
33, $66800
55, $77900
80, $31900
64, $73600
60, $78200
63, $34100
57, $32700
57, $66200
50, $101500
85, $50300
35, $4900
57, $59300
68, $57700
47, $59400
34, $23400
39, $64600
78, $110800
40, $39100
68, $33500
27, $13400
82, $24100
57, $73400
43, $81100
20, $14700
66, $24800
76, $34400
49, $13900
51, $584600
60, $11300
28, $32300
78, $53300
72, $13800
80, $14800
79, $6800
36, $37100
31, $893800
80, $39100
84, $16300
68, $53400
58, $7000
59, $29000
51, $19300
53, $23900
48, $118300
74, $11900
41, $16600
73, $58600
42, $21000
29, $21900
57, $117900
78, $20400
30, -$900
47, $56700
61, $133600
37, $38700
27, $14900
64, $11000
49, $10800
60, $24300
30, $11500
87, $24100
49, $6100
29, $22100
65, $20400
58, $4100
51, $18100
63, $89900
65, $34200
68, $27100
78, $24000
35, -$4100
70, $47300
27, $86500
53, $44100
54, $35800
80, $8500
64, $18200
73, $18500
33, $1300
29, $42500
53, $768000
63, $61400
62, $57700
46, $72400
62, $43500
54, $48300
36, $88500
66, $44000
89, $23400
50, $36200
87, $91100
59, $13700
66, $46900
67, $92400
36, $142300
44, $86600
75, $36600
58, $33100
57, $43800
85, $11700
37, $64200
59, $16000
28, $21200
58, $135600
51, $55000
39, $134700
73, $18900
57, $748300
62, $102500
57, $16600
26, $7700
77, $15400
65, $49700
84, $29900
89, $97500
50, $19700
24, $54700
36, $30600
72, $39300
35, $59000
38, $37700
33, $66800
38, $28800
21, $48100
45, $8500
33, $12400
61, $37600
68, $38000
57, $34100
59, $55600
66, $29600
32, $87300
44, $61100
37, $57900
27, $9700
47, $17200
65, $49800
67, $136600
56, $22100
70, $21400
44, $16800
61, $557700
60, $9600
77, $35100
63, $82200
75, $14100
66, $46300
64, $31400
37, $83900
26, $61900
38, $82800
20, $12000
54, $6900
39, $37100
26, $20400
65, $24500
46, $106000
46, $73300
61, $30100
75, $34700
29, $45400
87, $11200
23, $32900
30, $57700
67, $91700
36, $27900
36, $73800
19, $83200
26, $29700
78, $57800
57, $32600
78, $13100
54, $119700
67, $143700
75, $11300
36, $4300
37, $57300
40, $13300
32, $25700
24, $49200
55, $71700
28, $9500
43, $56000
47, $21300
35, $137200
41, $40300
48, $42900
80, $16600
61, $8500
73, $30700
58, $35800
62, $146100
48, $27200
62, $53700
62, $9200
23, $47300
40, $83600
65, $18300
71, $47400
81, $42600
39, $64300
75, $29900
24, $23700
70, $22300
77, $21300
20, $6100
66, $33800
61, $25900
28, $48400
31, $83800
74, $14700
22, $54100
52, $42900
50, $140400
50, $76800
32, $78200
66, $31100
79, $12900
23, $5300
55, $86100
45, $61700
69, $41300
35, $81400
63, $24600
63, $17800
39, $904500
63, -$4000
38, $9000
58, $27500
50, $729300
74, $58700
70, $59800
38, $53100
36, $41800
31, $52700
40, $29300
60, $96600
48, $136000
78, $13300
25, $7900
46, $35900
62, $50900
32, $38900
67, $58800
59, $3800
62, $72900
56, $37300
31, $48200
49, $56500
37, $66200
42, $85400
87, $43000
65, $89200
42, $64900
31, $97100
47, $78500
23, $17800
66, $54300
60, $136000
72, $686000
50, $83900
80, $54800
71, $59000
54, $10400
67, $23300
37, $101800
51, $1100
61, $112700
27, $7300
61, $14500
45, $13300
21, $10600
57, $78300
75, $31800
30, $56700
56, $92400
54, $13100
60, $118800
38, $50300
38, $20300
39, $114300
33, $51600
47, $104500
53, $59100
89, $28200
55, $95200
67, $14900
60, $34500
64, $98500
49, $105100
81, $29500
58, $116600
58, $7500
67, $95400
36, $39700
42, $69700
65, $76900
63, $41500
68, $31600
28, $88200
44, $949200
44, $95300
44, $38900
56, $136600
50, $75600
62, $127600
56, $49000
34, $26400
27, $10600
39, $75100
65, $75900
28, $117200
45, $86900
54, $149500
44, $41000
63, $116900
47, $85000
40, $71400
70, $13700
72, $39800
80, $58200
55, $82100
85, $26300
47, $67800
40, $27600
80, $35900
68, $19800
69, $36900
30, $8400
22, $14500
56, $90700
66, $20400
29, $6400
50, $50400
53, $531600
25, $100
56, $373500
72, $72600
47, $79100
59, $99700
56, $149800
37, $68700
66, $13900
60, $94900
60, $149900
47, $75000
19, $13500
30, $52000
31, $101700
55, $136000
45, $12200
62, $18300
82, $71100
77, $99800
74, $50100
29, $37900
46, $744500
72, $59500
26, $562000
27, $67300
61, $47700
91, $14500
40, $91900
50, $90500
55, $87400
73, $25300
42, $939000
34, $821400
58, $131400
61, $673300
48, $133300
36, $115000
89, $76200
30, -$2900
49, $28100
25, $11600
73, $69700
33, $18000
30, $65200
28, $45600
28, $96300
55, $63700
44, $125200
62, $59700
58, $27900
24, $12900
87, $33400
41, $545500
69, $57800
27, $73800
54, $47600
46, $379200
75, -$2000
28, $18800
51, $20200
75, $12900
18, $6800
54, $89400
46, $105000
48, $19600
59, $11000
56, $11500
34, $83100
55, $693100
33, $149200
23, $33800
27, $49300
59, $62600
51, $63500
42, $32000
71, $401800
25, $68100
30, $74800
75, $83700
52, $577000
28, $109100
43, $98600
26, $89400
32, $30000
28, $49600
65, $93100
61, $42600
85, $38300
45, $39700
40, $801100
35, $113700
52, $40000
33, $100200
65, $13100
46, $130700
29, $70500
58, $132600
87, $35800
23, $35300
25, $33800
41, $500
28, $31700
72, $14900
59, $81600
37, $69200
59, $45300
62, $91500
61, $102500
48, $101200
58, $143600
22, $48500
30, $91200
61, $88800
28, $20500
83, $46100
36, $32200
39, $100000
68, $19400
23, $55900
45, $310700
24, $52900
60, $45200
71, $51200
42, $19100
21, $36900
51, $166800
49, $24800
42, $31300
66, $13800
22, $58400
81, $66300
72, $27900
63, $31700
70, $42300
31, $49100
54, $106000
47, $14100
70, $34200
36, $55900
37, $107800
89, $73500
62, $13600
70, $55600
34, $132200
32, $20200
53, $76800
24, $34100
56, $68300
68, $98500
23, $101500
77, $89500
91, $134400
57, $20900
65, $57800
29, $34900
18, $33100
69, $148400
52, $107400
41, $125300
35, $97700
45, $112800
25, $85500
54, $233800
53, $94700
26, $73200
50, $48300
61, $118300
24, $36800
66, $38800
62, $11600
58, $70100
38, $33200
42, $148800
72, $48800
23, $44900
20, $23900
27, $110300
43, $57400
66, $37800
67, $36800
52, $40200
54, $872400
48, $30700
44, $147000
28, $59100
75, $23900
59, $118500
41, $48900
59, $11500
27, $8500
28, $13400
52, $45500
37, $86100
23, $34100
29, $35300
67, $17400
58, $144500
59, $145800
69, $78400
71, $75700
34, $55000
30, $10500
41, $29100
41, $10600
59, -$1800
46, $12200
23, $54400
64, $62800
54, $573100
19, -$2200
35, $11500
54, $37300
80, $119100
76, $12600
55, $101200
50, $54100
50, $11300
30, $54300
50, $775500
81, $13500
70, $32200
32, $48500
68, $23400
29, $26000
24, $53600
63, $47400
49, $115400
44, $63200
63, $13600
33, $58900
59, $122300
55, $149300
44, $92900
64, $58500
35, $105100
89, $13200
57, $79800
79, $18000
67, $77100
57, $41600
33, $47800
36, $148100
74, $43300
75, $121500
41, $78800
53, $7900
63, $58000
58, $38500
27, $39200
44, $382900
43, $36900
50, $146100
79, $10500
22, $42900
27, $32200
89, $35300
35, $23000
28, $63000
66, $22700
54, $8700
31, $117300
58, $44100
43, $16800
52, $85600
24, $44200
40, $51400
57, $27700
44, $31800
79, $28700
57, $191500
66, $44200
73, $16000
30, $44300
30, $61400
47, $39100
30, $87700
40, $55600
70, $39800
67, $440200
47, $31400
47, $133100
32, $65800
29, $59200
66, $26600
64, $90300
34, $994600
69, $73000
44, $39500
62, $48300
42, $35100
33, $21700
59, $14300
31, $37800
57, $13400
21, $76500
40, $38200
38, $49300
61, $29800
54, $37000
76, $39900
58, $73700
54, $128800
46, $4500
48, $105300
35, $124300
40, $101500
78, $8400
22, $36200
57, $141300
26, $17200
52, $17200
31, $50300
30, $72200
63, $58200
60, $67300
31, $40700
71, $281400
38, $17100
37, $14300
21, $4100
27, $107700
65, $11300
31, $57000
55, $37300
68, $84800
70, $36000
69, $39600
33, $28400
63, $126100
49, $143500
39, $34500
38, $41000
65, $76900
32, $15700
25, $53900
66, $23000
45, $97300
66, $124100
41, $131000
67, $12500
58, $119600
38, $653300
59, $80300
74, $24700
76, $27400
59, $56400
50, $26200
36, $110400
44, $34100
43, $125900
52, $280300
39, $61500
59, $142100
30, $12100
46, $60600
45, $79100
35, $149200
27, $33800
57, $22400
65, $39200
52, $118000
42, $190300
44, $127100
42, $813200
27, $38200
32, $48200
64, $142100
33, $11900
72, $81700
55, $99900
36, $97000
74, $41700
64, $38400
56, $138500
32, $86700
65, $136100
66, $85400
29, $18500
53, $779500
65, $22100
41, $789500
58, $34400
56, $179200
85, $25000
53, $23800
36, $657500
45, $49100
40, $23400
51, $85800
21, $45600
45, $93400
63, $111100
60, $88800
77, $18800
40, $27500
53, $31600
58, $34000
21, $35500
44, $12300
60, $800100
29, $23700
35, $31600
76, $54200
57, $25600
28, $18300
59, $60500
54, $139400
37, $73300
30, $38400
42, $36700
55, $10400
48, $522600
53, $77000
28, $64200
79, $17200
41, $41100
31, $876800
29, $44600
40, $136500
26, -$600
60, $66600
53, $802700
60, $827900
57, $89800
57, $99800
56, $122800
24, $44800
45, $132600
54, $57900
51, $40200
45, $46900
25, $39400
23, $90800
77, $149500
34, $70400
30, $51100
28, $47900
57, $86900
42, $12300
46, $52200
64, $99600
59, $35200
55, $786500
31, $27600
31, $60800
28, $94800
21, $47600
74, $33200
65, $972700
48, $66800
51, $129000
66, $47000
41, $123700
56, $84800
24, $14300
25, $39700
23, -$2100
31, -$3100
59, $37600
27, $54200
44, $950200
21, $63200
48, $82800
83, $102500
22, $133900
77, $38700
51, $57400
38, $42200
33, $142200
31, $12100
52, $96100
59, $88200
55, $16100
37, $148200
46, $417700
31, $9600
52, $21900
63, $89900
66, $26100
42, $97300
32, $6700
36, $78400
55, $30400
64, $43900
54, $87500
85, $141900
60, $50500
54, $13500
41, $60600
63, $43700
23, $17000
48, $91000
29, $12000
32, $32100
59, $19000
52, $51800
54, $74400
34, $41000
29, $88000
38, $36500
41, $54000
54, $6700
32, $19200
52, $21800
22, $12000
67, $69700
69, $23600
46, $10700
33, $45900
59, $7400
45, $6900
72, $20900
34, $324200
51, $689800
56, $15900
71, $23800
51, $51700
61, $87800
53, $13800
79, $72800
37, $24400
76, $15300
55, $53900
35, $226300
62, $57000
26, $21300
47, $17400
22, $10100
71, $47000
70, $777300
50, $57900
44, $20400
50, $37700
53, $39900
63, $117200
56, $71200
52, $11700
66, $88000
46, $75000
33, $107500
71, $33700
60, $10100
44, $38600
21, $142100
26, $30400
56, $19800
23, $25400
69, $40400
42, $143600
58, $86900
67, $22200
67, $18400
52, $37300
57, $7900
50, $34400
24, $54800
47, $16000
55, $41700
48, $25400
60, $95400
31, $38900
23, $17400
52, $89900
57, $54000
49, $58200
43, $37200
50, $59200
39, $70100
30, $75500
31, $58900
64, $23500
43, $46800
66, $110100
87, $31500
47, $41800
45, $110500
34, $68200
46, $80700
71, $14800
85, $44300
81, $2900
63, $49800
37, $78500
81, $40500
42, $25000
56, $80500
57, $63100
71, $36100
53, $77900
61, $47100
54, $85500
22, $24000
24, $34200
28, $11100
59, $0
46, $12600
89, $23500
29, $12100
63, $941600
26, $53700
54, $119800
69, $29200
24, $26500
45, $111500
55, $46800
26, $26800
66, $25200
42, $8900
33, $106100
58, $9900
44, -$3600
78, $20200
78, $14800
30, $20400
30, $28400
55, $139000
76, $47200
52, $41900
21, $38100
52, $10700
27, $31600
34, $93400
32, $9700
28, $86800
81, $12700
72, $39500
46, $135700
37, $22400
56, $52100
45, $22900
57, $47200
28, $57400
63, $66500
58, $54100
52, $55700
27, $40700
52, $30100
29, $74700
65, $10800
25, $52300
40, $130700
63, $52100
24, $30400
47, $89700
74, $50100
69, $58100
53, $8900
50, $53500
59, $107400
55, $41700
34, $44400
84, $30600
69, $71300
51, $25000
71, $14400
37, $46000
46, $82200
68, $59500
89, $14200
50, $50200
54, $53600
49, $96100
27, $44200
22, $92700
54, $75800
53, $35200
45, $63500
65, $25900
55, $17500
59, $30000
74, $29700
39, $726000
40, $12200
52, $23000
60, $69000
60, $93300
23, $59800
58, $135400
64, $128500
63, $12900
82, $20300
27, $45400
32, $130700
62, $590600
26, -$1500
44, $23500
25, $24200
29, -$1100
34, $76300
80, $31300
54, $44400
87, $23300
76, $3800
43, $57000
48, $56800
25, $51300
20, $63700
78, $11300
24, $29600
57, $41900
79, $12800
33, $41400
28, -$1300
20, $11900
56, $6800
79, $16000
43, $80100
58, $6700
67, $60200
27, $65300
21, $5200
79, $14200
41, $121000
53, $83900
34, $29200
44, $56700
75, $26000
27, $40900
52, $93300
26, $44000
73, -$4500
49, $153700
55, $6100
64, $18000
43, $91000
78, $10800
39, $77700
53, $1600
70, $72900
55, $82400
44, $78600
60, $128000
47, $977200
40, $37400
25, $400
46, $35800
43, $53700
76, $20800
28, $107300
35, $15500
20, $32800
50, $130900
21, $16800
36, $30000
39, $3100
78, $200
27, $34500
39, $116700
20, $19200
34, $17000
33, -$3800
21, $38600
51, $54200
33, $49300
37, $13000
32, $11200
62, $43300
44, $22000
35, $39700
42, $21000
25, $13000
75, $15500
78, -$4600
54, $111700
44, $11300
71, $126700
43, $11200
34, $71300
60, $20000
36, $90000
39, $53300
60, $10100
20, $180700
75, $56000
30, $80000
51, $71700
72, $27800
29, $38400
64, $68200
69, $8500
30, $97900
82, $149500
49, $186000
30, $16600
41, $80100
24, $16000
80, $25700
63, $44000
91, $22400
30, $73200
61, $69300
40, $15900
58, $1300
58, $94800
32, $6100
44, $56400
40, $72800
47, $65600
30, $28600
45, $10500
52, $90100
61, $36600
29, $18900
49, $3500
39, $723500
53, $13600
46, $471300
36, $133100
38, $576100
49, $32000
69, $14800
66, $27600
54, $43400
73, $353300
84, $53800
62, $32600
34, $72500
63, $132800
37, $243500
24, $20600
28, $60900
24, $75800
62, $16600
81, $69700
55, $43400
57, $41100
41, $105900
66, $53200
60, $72200
54, $149000
81, $66100
46, $97300
35, $74300
53, $20200
43, $32800
44, $109900
58, $12500
49, $24100
30, $35400
50, $30300
39, $80900
87, $39800
44, $49700
56, $70400
63, $103900
45, $125300
46, $96300
35, $93700
70, $118900
73, $52900
46, $6400
79, $69600
67, $54100
46, $256700
27, $55100
41, -$4400
81, $731600
52, $219900
72, $635300
58, $73200
60, $39300
59, $268300
43, $83100
61, $78200
60, $18600
52, $51200
46, $90900
59, $950700
59, $45700
26, $74100
68, $39900
34, $80200
57, $648500
19, $64300
68, $44700
23, $69700
85, $21900
51, $91400
39, $90200
45, $27200
79, $38300
80, $10400
52, $10200
78, $62500
27, $126200
27, $48000
57, $112500
36, $24600
32, $13000
36, $136200
32, $47300
29, $140300
24, $13700
67, $49600
43, $92200
51, $39200
58, $32200
38, $23500
30, $65200
58, $61600
87, $15900
37, $77300
23, $800
46, -$3300
61, $46900
15, $16900
64, $138800
72, $37800
24, $31900
24, $28200
57, $31500
52, $101800
47, $94200
61, $41600
41, $113700
25, $59200
45, $60800
73, $46100
59, $134000
42, $53400
33, $103200
60, $32500
40, $86600
71, $20700
85, $32600
46, $806000
55, $114300
39, $254800
69, $62600
54, $36400
69, $23100
47, $30000
49, $123600
44, $28100
80, $66900
68, -$3100
62, $13800
49, $28800
32, $59200
53, $298900
42, $21200
66, $34700
74, $34600
47, $18600
39, $50400
36, $39900
87, $92300
29, $103200
87, $40200
60, $35700
53, $32400
35, $146800
45, $982900
27, $33500
64, $10800
48, $681500
65, $30200
31, $89700
45, $49900
48, $79000
69, $117400
56, $548900
60, $267600
28, $34400
47, $44700
22, $53900
44, $64800
71, $21200
33, $26300
71, $30100
39, $74000
71, $23000
54, $62300
49, $75400
60, $249300
37, $118400
66, $65700
68, $53500
75, $364700
40, $508400
79, $23100
50, $30100
50, $64300
57, $15200
57, $81700
78, $47700
66, $47300
87, $9000
40, $67400
34, $500
34, $62100
63, $58200
60, $18400
39, $83900
51, $71400
20, -$1300
54, $478300
27, $64600
28, $20200
59, $33200
51, $433600
59, $23000
81, $68400
41, $112900
78, $52800
41, $138400
64, $18700
61, $16000
44, $126900
85, $34100
59, $47000
67, $29400
46, $48900
69, $35500
52, $291500
36, $33300
34, $94900
72, $64700
44, $145300
22, $37000
82, $15900
35, $13000
51, $8200
87, $18900
81, $32800
45, $382300
34, $89000
66, $69600
39, $67100
42, $71500
46, $42800
76, $35400
54, $136600
45, $26400
64, $31500
55, $94900
72, $59400
68, $34800
28, $59200
25, $373000
64, $8400
40, $705000
75, $105600
80, $66700
32, $43300
38, $63500
77, $24800
68, $119500
65, $232100
43, $117600
68, $45800
73, $8600
78, $13900
68, $42600
63, $46000
37, $34100
69, $18000
30, -$3100
37, $49300
77, $7400
73, -$1200
91, $8800
53, $37900
53, $131700
58, $33100
20, $33900
73, $31700
67, $46100
44, $6600
67, $33500
60, -$1800
34, $96500
71, $36900
57, $37900
68, $24000
29, $93400
85, $14800
63, $36600
32, $137600
25, $833000
85, $23000
79, $22100
44, $21900
66, $24600
63, $8000
68, $53300
58, $1600
79, $367300
22, $21400
47, $15900
77, $6800
76, $7700
73, $25000
50, $95000
69, $3100
41, $25100
34, $13600
33, $87800
58, $12700
58, $41700
76, $60600
52, $74400
70, $31300
61, $15500
40, $46100
78, $48300
34, $6200
39, $83400
31, $11300
78, $31900
65, $48700
53, $23000
68, $23000
45, $39400
58, $27400
37, $131900
32, $25800
55, $7300
33, $56400
77, $3500
66, $47700
71, $32200
52, $12700
65, $5400
31, -$3800
43, $6100
48, $37800
81, $62200
64, $6800
44, $28000
25, $88500
24, $10300
71, $115100
28, $26500
53, $39100
60, $34700
44, $620700
35, $51400
40, $126200
57, $43900
85, $77700
82, $115000
23, $25200
63, $66000
72, $28100
34, $12100
62, $13400
77, $130700
27, $30800
68, $55500
71, $50900
62, $33400
79, $93000
26, $20600
39, $108200
52, $71200
61, $139900
43, $8000
33, $3000
36, $67600
29, $26600
67, $28600
63, $55900
50, $854400
27, $32100
44, $91900
35, $92100
30, $27700
27, $26300
34, $14300
63, $38900
34, $300
34, $39200
50, $9300
34, $30500
61, $35500
72, $54300
58, $540500
29, $59900
38, $63400
76, $16600
93, $3900
69, $45700
87, $20700
43, $23200
56, $22400
57, $32900
32, $35400
56, $529600
45, $66900
21, $82000
27, $99400
35, $67500
56, $36700
46, $24900
61, $33800
39, $30900
27, $11500
41, $39100
47, $30900
48, $36300
27, $20300
72, $28100
34, $139200
64, $35300
28, $24800
52, $9700
58, $43400
33, $19500
78, $70700
50, $32700
64, $50000
71, $54800
85, $26800
71, $32300
56, $26000
39, $36000
56, $39900
43, $44300
62, $74300
26, $6400
66, $14500
17, $59000
29, $3100
44, $24900
44, $26800
87, $45300
30, $13500
56, -$1100
43, $39900
58, $7700
38, $28300
60, $133400
25, $11800
66, $21800
57, $20000
42, $90700
73, $28700
61, $14300
25, $37500
41, $27500
37, $36600
58, $29300
51, $36200
31, $21900
59, $53600
79, $45700
33, $73000
60, $10200
25, $11000
58, $38100
26, $39200
63, $74700
43, $141400
50, $61000
37, $88000
32, $29300
74, $46000
53, $11700
33, $74400
53, $27500
56, $35600
21, $76600
29, $9700
58, $44200
69, $20200
31, $87200
32, $10100
51, -$2900
19, $28700
44, -$4800
25, $20400
44, $26400
48, $80600
31, $14300
79, -$1300
33, $61100
48, $51000
33, $34200
25, $73500
71, $13300
44, $31700
70, $56800
62, $139700
34, $14000
49, $56200
79, $28300
44, $35900
37, $23200
42, $24900
30, $23100
44, $41700
57, $55400
36, $9400
63, $21100
35, $9500
44, -$4900
64, $61500
30, $91600
38, $59600
54, $78900
48, $111100
56, $41800
77, $52500
81, $22800
40, $66700
22, $56900
53, -$1900
49, $7700
57, $53500
85, $31300
36, $35500
74, $28300
30, $559000
20, $38200
34, $33300
61, $53900
35, $131200
37, $114100
58, $31700
48, $73800
48, $129300
43, $42500
67, $17200
69, $39500
49, $29100
40, $59400
57, $47200
42, $42200
63, $14500
27, $58400
47, $20000
25, $47400
57, $33000
40, $630100
57, -$3600
61, $70200
71, $10000
66, $60700
73, $30200
93, $37800
83, $43400
80, $18500
53, $22900
35, $70600
34, $48800
26, $55800
55, $86700
28, $32700
67, $79800
64, $66600
44, $40100
62, $18700
39, $29900
69, $32600
42, $72200
35, $66600
38, $79800
21, $26000
28, $69800
37, $32700
73, -$3400
69, $56500
66, $91300
71, $31900
64, $9200
39, $68700
44, $26200
26, $42900
68, $66800
54, $42300
47, $40600
43, $28600
29, $68600
62, $21800
52, $125300
53, $4200
50, $62700
73, $41600
62, $130000
27, $11600
73, $59100
21, $125300
46, $47700
54, $6700
26, $38700
54, $8000
63, $256400
70, $42500
31, $14100
47, $63800
54, $15500
39, $15800
72, $58500
48, $61100
36, $783600
66, $49800
48, -$4700
47, $11800
76, $40200
69, $17800
64, $47900
36, $13400
71, $26500
39, $919100
30, $29600
32, $42300
59, $25100
39, $35000
49, $74000
41, $26800
41, $112000
38, $143800
75, $40300
73, $20400
59, $69000
50, $16900
32, -$4900
65, $71800
72, $28300
78, $29600
49, $629700
47, $22200
66, $29800
56, $40900
75, $31000
34, $98300
62, $45200
63, $30400
72, $98800
27, $5800
59, $45500
35, $26500
23, $12000
57, $24200
50, $22700
58, $62700
22, $6000
68, $85500
47, $38600
42, $71700
22, $22400
71, $23100
39, $37800
49, $12500
26, $40600
56, $46600
70, $9400
30, $47500
61, $1700
33, $58000
72, $19800
44, $53900
34, $40000
48, $85200
28, $14400
50, $42900
66, $10400
61, $8400
66, $13700
27, $9100
41, $21500
32, $62300
39, $120400
52, $57200
37, $200
35, $37900
49, $38700
29, $20200
84, $59400
55, $61100
70, $65300
62, $52800
75, $72400
62, $19700
82, $17500
40, $69600
70, $15800
29, $45800
25, $16900
31, $36400
27, $21000
87, $12400
53, $50000
47, $72500
51, $108300
29, $7300
66, $20900
35, $17500
57, $142800
50, $71800
57, $52300
61, $16900
31, $86000
34, $72500
38, $12200
34, $706300
21, $25800
41, $49900
61, $44200
84, $71700
84, $131600
27, $20800
42, $18400
67, $45900
35, $83300
32, $84400
42, $11700
81, $44100
53, $34800
73, $42400
22, $53700
35, $39400
51, $1700
72, $39300
79, $17400
48, $59900
67, $24400
31, $99500
73, $35800
60, $61000
25, $21500
60, $48900
38, $29500
77, $16200
58, $17100
57, $37800
65, $15900
68, $92000
82, $26300
47, $22300
44, $20700
42, $15700
47, $49200
32, $38000
54, $27500
61, $30100
85, $13700
61, $33300
53, $405000
81, $49000
55, $66600
70, $29700
43, $35700
51, $69600
33, $8900
21, $35000
20, $52700
65, $8300
24, $16500
73, $13700
72, $53200
67, $15600
69, $149800
69, $43100
60, $10300
42, $95400
65, $20500
39, $72800
41, $65400
36, $47100
29, $25300
41, $16200
70, $65700
49, $104800
55, $126000
78, $37500
44, $60400
29, $26000
54, $39200
26, $667600
58, $52100
71, $5300
62, $15200
79, $115200
50, $14500
55, $63800
61, $28200
49, $49900
69, $28700
61, $45300
19, $19200
37, $34100
82, $10500
57, $31000
48, $84400
36, $7000
55, $8400
31, $35200
45, $9400
28, $38800
58, $9300
44, $37200
78, $22100
73, $59400
45, $37600
56, $30700
89, $31600
45, $62000
51, $24700
44, $58000
32, $5500
54, $26400
43, $101200
61, $39400
60, $5700
51, $142900
55, $51300
42, $94300
70, $11600
